,url,content_dec
142,https://sputnikglobe.com//20221015/us-designed-european-sky-shield-initiative-to-escalate-tension-with-russia-analyst-says-1101880792.html,
143,https://sputnikglobe.com//20240523/stronghold-on-russian-border-existed-only-on-paper-ukrainian-pow-reveals-1118593781.html,
144,https://sputnikglobe.com//20221030/russia-ready-to-replace-ukrainian-grain---senior-lawmaker-1102837088.html,
145,https://sputnikglobe.com//20220408/live-updates-us-releases-new-anti-russia-sanctions-list-1094574091.html,
146,https://sputnikglobe.com//20221119/live-updates-ukrainian-forces-shell-lugansk-republic-using-himars-missiles---lpr-1104416695.html,
147,https://sputnikglobe.com//20221020/japans-trade-deficit-jumps-to-record-high-of-73bln-in-first-half-of-2022-fiscal-year-1102439229.html,
148,https://sputnikglobe.com//20231205/watch-russian-rocket-artillery-erase-us-made-howitzer-from-existence-1115399077.html,
149,https://sputnikglobe.com//20220713/ukraine-cuts-ties-with-north-korea-over-recognition-of-donbass-republics-1097283825.html,
150,https://sputnikglobe.com//20230306/chinas-pla-reportedly-preparing-for-big-rd-push-as-beijing-hikes-defense-budget--1108097012.html,
151,https://sputnikglobe.com//20240225/at-long-last-uk-media-blasts-wests-support-to-euromaidan-coup--ukraine-conflict-1116974378.html,
152,https://sputnikglobe.com//20221218/crimea-greeces-plans-to-transfer-s-300-systems-to-ukraine-risky-step-1105558517.html,
153,https://sputnikglobe.com//20240605/is-us-hegemony-a-paper-tiger-1118771302.html,
154,https://sputnikglobe.com//20230627/ukraine-mulling-several-provocation-scenarios-at-zaporozhye-npp-1111489258.html,
155,https://sputnikglobe.com//20221026/ex-moldovan-president-says-current-govt-risks-leaving-country-without-russian-gas-1102669123.html,
156,https://sputnikglobe.com//20220319/live-updates-more-than-27-million-ukrainians-wish-to-evacuate-to-russia---mod-1094019343.html,
157,https://sputnikglobe.com//20221013/eus-first-ever-overseas-aid-stockpile-to-be-based-in-latin-america---commission-1101824731.html,
158,https://sputnikglobe.com//20241015/druzhba-oil-mega-pipeline-that-evaded-us-sabotage-to-power-eastern-europes-economic-boom-1120559902.html,
159,https://sputnikglobe.com//20240208/watch-russian-grad-mlrs-eliminate-enemy-personnel-and-equipment-1116658966.html,
160,https://sputnikglobe.com//20220621/peskov-says-ukraine-conflict-will-be-long-crisis-russia-will-not-trust-west-anymore-1096504992.html,
161,https://sputnikglobe.com//20220506/india-has-put-era-of-pleasing-the-world-behind-it-says-jaishankar-amid-wests-ire-over-ukraine-1095093946.html,
162,https://sputnikglobe.com//20240502/in-us-media-we-dont-trust-over-80-of-americans-have-lost-faith-in-corporate-press-1118230846.html,
163,https://sputnikglobe.com//20230310/investments-in-russia-up-by-46-in-2022---statistics-agency-1108274367.html,
164,https://sputnikglobe.com//20230417/us-lawmaker-introduces-bill-to-force-biden-to-provide-data-on-ukraine-aid-conflict-1109606899.html,
165,https://sputnikglobe.com//20230606/scott-ritter-kakhovka-dam-attack-designed-to-cure-wests-ukraine-fatigue-1110958667.html,
166,https://sputnikglobe.com//20230126/blinken-convinced-biden-to-give-ukraine-tanks-to-conceal-nato-rift-over-military-aid-reports-say-1106742490.html,
167,https://sputnikglobe.com//20230416/italy-sends-two-dozen-m109l-self-propelled-howitzers-to-ukraine---reports-1109579001.html,
168,https://sputnikglobe.com//20220413/russian-foreign-ministry-threat-of-chemical-terrorism-by-ukrainian-nationalists-very-real-1094720042.html,
169,https://sputnikglobe.com//20240418/supreme-court-tackles-trump-and-jan-6-rioters-in-obstruction-showdown-1117984654.html,
170,https://sputnikglobe.com//20230404/russia-transferred-iskander-missile-system-to-belarusian-armed-forces-shoigu-1109111035.html,
171,https://sputnikglobe.com//20230405/us-continues-to-lash-out-at-signs-of-empires-demise-1109129257.html,
172,https://sputnikglobe.com//20230405/stoltenberg-holds-press-conference-after-nac-meeting-in-brussels-1109142653.html,
173,https://sputnikglobe.com//20220227/kremlin-russian-delegation-arrives-in-belarus-for-talks-with-ukrainians-ready-to-start-in-gomel-1093413983.html,
174,https://sputnikglobe.com//20221013/russian-economy-emerging-from-recession-despite-western-sanctions-british-newspaper-reports-1101807542.html,
175,https://sputnikglobe.com//20220808/cbs-deletes-documentary-revealing-that-just-30-of-wests-aid-to-ukraine-reached-frontlines-1099383460.html,
176,https://sputnikglobe.com//20220405/russia-refutes-ukraines-allegations-of-mass-executions-in-bucha-1094484760.html,
177,https://sputnikglobe.com//20240618/rahdit-hackers-release-data-of-ukrainian-drone-operators-1119005033.html,
178,https://sputnikglobe.com//20240528/macrons-call-to-double-eu-budget-is-last-ditch-attempt-to-save-blocs-relevance-1118669917.html,
179,https://sputnikglobe.com//20221115/imf-chief-warns-g20-against-dividing-world-into-separate-blocs-1104144700.html,
180,https://sputnikglobe.com//20240106/denmarks-shipment-of-first-f-16s-to-ukraine-delayed-for-q2-2024-1116015716.html,
181,https://sputnikglobe.com//20240302/special-op-has-no-imperialist-goals---analyst-on-russia-ukraine-peace-treaty-draft-1117085566.html,
182,https://sputnikglobe.com//20220519/us-senate-confirms-brink-as-ambassador-to-ukraine-1095620049.html,
183,https://sputnikglobe.com//20221013/russia--africa-should-cement-relationship-head-of-africa-oil-week-advisory-board-says-1101808430.html,
184,https://sputnikglobe.com//20230426/kiev-endangering-europes-nuclear-security---former-ukrainian-pm-1109850729.html,
185,https://sputnikglobe.com//20220310/us-house-passes-omnibus-spending-bill-to-fund-government-aid-ukraine-1093732158.html,
186,https://sputnikglobe.com//20240319/western-armies-unprepared-for-prolonged-conflict-like-in-ukraine-ex-us-army-officer-admits-1117431341.html,
187,https://sputnikglobe.com//20240607/watch-russian-suicide-drone-swing-around-strike-ukrainian-armor-near-artemovsk-1118841095.html,
188,https://sputnikglobe.com//20241009/hurricane-survivors-get-neglected-as-kiev-and-israel-rake-in-billions-1120480642.html,
189,https://sputnikglobe.com//20240227/us-senate-aide-providing-equipment-to-ukraine-may-be-foreign-agent---report-1117004568.html,
190,https://sputnikglobe.com//20240123/ukraine-issue-pretty-much-sidelined-in-us---ex-assistant-treasury-secretary-1116323735.html,
191,https://sputnikglobe.com//20230808/two-us-army-vets-killed-while-fighting-in-wests-proxy-war-in-ukraine-1112459773.html,
